,الشركة,السهم,القطاع,آخر سعر,نسبة التغيير,آخر تحديث
155,بروج للتأمين,8270,التأمين,18.12,0.22%,07 أغسطس 2019
156,أنابيب السعودية,1320,المواد الأساسية,21.1,0.48%,07 أغسطس 2019
157,الخليجية العامة,8260,التأمين,11.98,3.45%,07 أغسطس 2019
158,العالمية,8280,التأمين,20.8,-0.48%,07 أغسطس 2019
159,المواساة,4002,الرعاية الصحية,86.8,-0.69%,07 أغسطس 2019
160,شاكر,1214,تجزئة السلع الكمالية,8.3,1.97%,07 أغسطس 2019
161,مجموعة السريع,1213,السلع طويلة الاجل,10.4,5.58%,07 أغسطس 2019
162,أمانة للتأمين,8310,التأمين,11.2,1.27%,07 أغسطس 2019
163,الوطنية,8300,التأمين,18.92,-0.11%,29 أبريل 2019
164,الخضري,1330,السلع الرأسمالية,5.39,-6.26%,07 أغسطس 2019
165,أسلاك,1301,المواد الأساسية,14.8,0.00%,07 أغسطس 2019
166,إكسترا,4003,تجزئة السلع الكمالية,75.7,0.26%,07 أغسطس 2019
167,عناية,8311,التأمين,10.72,1.90%,07 أغسطس 2019
168,تكوين,1201,المواد الأساسية,7.8,1.96%,07 أغسطس 2019
169,الإنماء طوكيو م,8312,التأمين,12.3,0.82%,07 أغسطس 2019
170,أسمنت المدينة,3003,المواد الأساسية,13.44,0.00%,07 أغسطس 2019
171,سيرا,1810,الخدمات الإستهلاكية,17.96,0.56%,07 أغسطس 2019
172,الحمادي,4007,الرعاية الصحية,22.2,0.45%,07 أغسطس 2019
173,دله الصحية,4004,الرعاية الصحية,52.6,0.38%,07 أغسطس 2019
174,أسمنت ام القرى,3005,المواد الأساسية,16.32,-0.61%,07 أغسطس 2019
175,الخدمات الأرضية,4031,النقل,30.25,-2.58%,07 أغسطس 2019
176,أسمنت الشمالية,3004,المواد الأساسية,9.42,0.21%,07 أغسطس 2019
177,المراكز,4321,إدارة وتطوير العقارات,28,0.72%,07 أغسطس 2019
178,لازوردي,4011,السلع طويلة الاجل,17.5,0.92%,07 أغسطس 2019
179,المستشفى السعودي الألماني,4009,الرعاية الصحية,26.25,0.77%,07 أغسطس 2019
180,عطاء,4292,الخدمات الإستهلاكية,32.3,0.62%,07 أغسطس 2019
181,الواحة,3007,المواد الأساسية,45.15,0.00%,07 أغسطس 2019
182,رعاية,4005,الرعاية الصحية,52.3,2.55%,07 أغسطس 2019
183,بوان,1302,السلع الرأسمالية,14.54,0.41%,07 أغسطس 2019
184,مجموعة الحكير,1820,الخدمات الإستهلاكية,14.3,0.00%,07 أغسطس 2019
185,جزيرة تكافل,8012,التأمين,17.1,0.59%,07 أغسطس 2019
186,الأهلي,1180,البنوك,51.5,0.00%,07 أغسطس 2019
187,متلايف إيه أي جي العربي,8011,التأمين,18.12,0.44%,07 أغسطس 2019
188,وقت اللياقة,1830,الخدمات الإستهلاكية,80.5,0.63%,07 أغسطس 2019
189,بحر العرب,9505,التطبيقات وخدمات التقنية,11.08,-0.18%,07 أغسطس 2019
190,الأندلس,4320,إدارة وتطوير العقارات,14.96,1.49%,07 أغسطس 2019
191,اليمامة للحديد,1304,المواد الأساسية,18.48,0.43%,07 أغسطس 2019
192,مبكو,1202,المواد الأساسية,14,0.57%,06 أغسطس 2019
193,باعظيم,9503,تجزئة السلع الكمالية,28,-3.45%,07 أغسطس 2019
194,الصناعات الكهربائية,1303,السلع الرأسمالية,15.8,1.67%,07 أغسطس 2019
195,أسواق المزرعة,4006,تجزئة الأغذية,15.28,0.13%,07 أغسطس 2019
196,ساكو,4008,تجزئة السلع الكمالية,63.9,0.63%,06 أغسطس 2019
197,ريدان,9506,الخدمات الإستهلاكية,15.14,0.93%,07 أغسطس 2019
198,العمران,9502,السلع الرأسمالية,18.38,5.03%,07 أغسطس 2019
199,إم آي إس,7200,التطبيقات وخدمات التقنية,53.4,1.14%,07 أغسطس 2019
200,ثوب الأصيل,9507,السلع طويلة الاجل,31.5,4.30%,05 أغسطس 2019
201,أبو معطي,9500,تجزئة السلع الكمالية,15.6,0.00%,16 مايو 2019
202,الوطنية للبناء والتسويق,9510,السلع الرأسمالية,360,0.00%,07 أغسطس 2019
203,التطويرية الغذائية,9501,الخدمات الإستهلاكية,88,-2.11%,07 أغسطس 2019
204,الصمعاني,9504,الخدمات التجارية والمهنية,44.7,-0.67%,07 أغسطس 2019
205,الكثيري,9508,المواد الأساسية,43.95,1.03%,07 أغسطس 2019
206,الوطنية للتعليم,4291,الخدمات الإستهلاكية,26.45,0.19%,07 أغسطس 2019
207,مهارة,1831,الخدمات التجارية والمهنية,103.2,0.19%,
